check,requirement,observed,passed,prd_section
宇宙列數,恰為 267 列,267,True,§8.1
ticker 唯一,無重複,0,True,§8.1
產業數,28 個產業,28,True,§8.1
市場別解析,未解析者為 0 檔,0,True,§8.1
上市日齊備,每檔皆有 listing_date,0,True,§8.1
"ticker,week 唯一",無重複鍵,0,True,§8.1
non_inst_roi 值域,"落在 [-1, 1]","[-0.9627, 0.9814]",True,§8.1
non_inst_roi 無異常群聚,|ROI|>0.99 的比例 < 1%,0.0000%,True,§8.1
兩種窗口皆產出,日曆與交易時段欄位皆存在,True,True,§8.1
窗口相關性型態,"corr(整週,週間) > corr(整週,週末)",0.939 vs 0.403,True,§8.2
dense 檔數（進入估計樣本）,≥ 40 檔（否則 H2 無法識別，須觸發 Yahoo 備案）,36,False,§8.2
dense 檔數（眾數分層，參考）,無門檻，供描述用,11,True,§8.2
測度效度篩檢已執行,三道篩檢皆產出報告,A_clean=8,True,§8.2
交易活動共動,通過檔數已量化並完整報告（刷掉本身就是結果）,207/266,True,§3.10
正式主表可產出,formal_controls_available 為 True,False,False,§8.4
權值還原已驗證,price_adjustment_verified 為 True,True,True,§8.1
上市前為缺列,上市前的週不得出現在面板,0,True,§8.1
PTT 封存 checksum,全期間封存已計算 SHA-256,"251,858 檔 / e156143357e0…",True,§8.1
標題解析正確率,> 95%（含 Re:／Fw: 回文）,100.00%,True,§8.1
次週報酬嚴格領先,五項領先／對齊檢查全數通過,5/5,True,§8.1
